,vars,qbalance
149,TradeandOtherPayablesNonCurrent,quarterlyTradeandOtherPayablesNonCurrent
150,CurrentLiabilities,quarterlyCurrentLiabilities
151,OtherCurrentLiabilities,quarterlyOtherCurrentLiabilities
152,PensionandOtherPostRetirementBenefitPlansCurrent,quarterlyPensionandOtherPostRetirementBenefitPlansCurrent
153,InterestPayable,quarterlyInterestPayable
154,DuetoRelatedPartiesCurrent,quarterlyDuetoRelatedPartiesCurrent
155,TotalNonCurrentAssets,quarterlyTotalNonCurrentAssets
156,OtherNonCurrentAssets,quarterlyOtherNonCurrentAssets
157,NonCurrentPrepaidAssets,quarterlyNonCurrentPrepaidAssets
158,NonCurrentDeferredAssets,quarterlyNonCurrentDeferredAssets
159,NonCurrentDeferredTaxesAssets,quarterlyNonCurrentDeferredTaxesAssets
160,DuefromRelatedPartiesNonCurrent,quarterlyDuefromRelatedPartiesNonCurrent
161,NonCurrentNoteReceivables,quarterlyNonCurrentNoteReceivables
162,NonCurrentAccountsReceivable,quarterlyNonCurrentAccountsReceivable
163,FinancialAssets,quarterlyFinancialAssets
164,InvestmentsAndAdvances,quarterlyInvestmentsAndAdvances
165,OtherInvestments,quarterlyOtherInvestments
166,InvestmentinFinancialAssets,quarterlyInvestmentinFinancialAssets
167,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,quarterlyFinancialAssetsDesignatedasFairValueThroughProfitorLossTotal
168,InvestmentsinJointVenturesatCost,quarterlyInvestmentsinJointVenturesatCost
169,InvestmentsInOtherVenturesUnderEquityMethod,quarterlyInvestmentsInOtherVenturesUnderEquityMethod
170,InvestmentsinAssociatesatCost,quarterlyInvestmentsinAssociatesatCost
171,InvestmentsinSubsidiariesatCost,quarterlyInvestmentsinSubsidiariesatCost
172,InvestmentProperties,quarterlyInvestmentProperties
173,CurrentAssets,quarterlyCurrentAssets
174,OtherCurrentAssets,quarterlyOtherCurrentAssets
175,HedgingAssetsCurrent,quarterlyHedgingAssetsCurrent
176,AssetsHeldForSaleCurrent,quarterlyAssetsHeldForSaleCurrent
177,CurrentDeferredAssets,quarterlyCurrentDeferredAssets
178,CurrentDeferredTaxesAssets,quarterlyCurrentDeferredTaxesAssets
179,RestrictedCash,quarterlyRestrictedCash
180,Inventory,quarterlyInventory
181,InventoriesAdjustmentsAllowances,quarterlyInventoriesAdjustmentsAllowances
182,OtherInventories,quarterlyOtherInventories
183,FinishedGoods,quarterlyFinishedGoods
184,WorkInProcess,quarterlyWorkInProcess
185,RawMaterials,quarterlyRawMaterials
186,ReceivablesAdjustmentsAllowances,quarterlyReceivablesAdjustmentsAllowances
187,DuefromRelatedPartiesCurrent,quarterlyDuefromRelatedPartiesCurrent
188,TaxesReceivable,quarterlyTaxesReceivable
189,AccruedInterestReceivable,quarterlyAccruedInterestReceivable
190,LoansReceivable,quarterlyLoansReceivable
191,CashCashEquivalentsAndShortTermInvestments,quarterlyCashCashEquivalentsAndShortTermInvestments
